x,rho_exact,rho_fdm,rho_present,rho_muscl,u_exact,u_fdm,u_present,u_muscl,P_exact,P_fdm,P_present,P_muscl
6.68458613e-01,2.65573712e-01,2.77379313e-01,2.75695770e-01,2.66172573e-01,9.27452620e-01,9.28130013e-01,9.24739288e-01,9.30383017e-01,3.03130178e-01,3.02930644e-01,3.04023840e-01,3.02280077e-01
6.70617621e-01,2.65573712e-01,2.75255708e-01,2.73032971e-01,2.65399791e-01,9.27452620e-01,9.28386124e-01,9.23393030e-01,9.30856827e-01,3.03130178e-01,3.02841134e-01,3.04442242e-01,3.02126076e-01
6.75186229e-01,2.65573712e-01,2.71930736e-01,2.70013791e-01,2.64737589e-01,9.27452620e-01,9.28470238e-01,9.25145897e-01,9.30726827e-01,3.03130178e-01,3.02807661e-01,3.03845707e-01,3.02169839e-01
6.78518128e-01,2.65573712e-01,2.70023565e-01,2.67486086e-01,2.65028135e-01,9.27452620e-01,9.28468520e-01,9.29942691e-01,9.28920065e-01,3.03130178e-01,3.02803609e-01,3.02250822e-01,3.02761442e-01
6.82405381e-01,2.65573712e-01,2.68426269e-01,2.66140220e-01,2.65213263e-01,9.27452620e-01,9.28233632e-01,9.33158885e-01,9.27564040e-01,3.03130178e-01,3.02875268e-01,3.01235658e-01,3.03227059e-01
6.89293432e-01,2.65573712e-01,2.66827623e-01,2.66905790e-01,2.65666021e-01,9.27452620e-01,9.27894371e-01,9.30205919e-01,9.27128059e-01,3.03130178e-01,3.02953581e-01,3.02320776e-01,3.03321083e-01
6.91377078e-01,2.65573712e-01,2.66489395e-01,2.67230976e-01,2.65784614e-01,9.27452620e-01,9.27571686e-01,9.30949830e-01,9.27154963e-01,3.03130178e-01,3.03048753e-01,3.01994075e-01,3.03306706e-01
6.96498090e-01,2.65573712e-01,2.65900894e-01,2.67968608e-01,2.66039231e-01,9.27452620e-01,9.27511865e-01,9.30292779e-01,9.27347099e-01,3.03130178e-01,3.03006334e-01,3.01891506e-01,3.03220035e-01
7.00902336e-01,2.65573712e-01,2.65582444e-01,2.68913808e-01,2.66096457e-01,9.27452620e-01,9.27421963e-01,9.26255596e-01,9.27712945e-01,3.03130178e-01,3.02946170e-01,3.02869859e-01,3.03056021e-01
7.03216569e-01,2.65573712e-01,2.65484905e-01,2.67695514e-01,2.66241341e-01,9.27452620e-01,9.27204118e-01,9.28391394e-01,9.27159708e-01,3.03130178e-01,3.02958961e-01,3.01430682e-01,3.03230508e-01
7.08742636e-01,2.65573712e-01,2.65283431e-01,2.66620820e-01,2.66297483e-01,9.27452620e-01,9.26626413e-01,9.27503446e-01,9.26237586e-01,3.03130178e-01,3.02863752e-01,3.00634906e-01,3.03569264e-01
7.13578472e-01,2.65573712e-01,2.65106184e-01,2.68965497e-01,2.66107061e-01,9.27452620e-01,9.25711421e-01,9.10216903e-01,9.25889791e-01,3.03130178e-01,3.02722712e-01,3.05573058e-01,3.03588093e-01
7.16029358e-01,2.65573712e-01,2.64975067e-01,2.67388590e-01,2.65628124e-01,9.27452620e-01,9.25278241e-01,9.06601398e-01,9.26852018e-01,3.03130178e-01,3.02576767e-01,3.06258804e-01,3.03233777e-01
7.20731672e-01,2.65573712e-01,2.64630648e-01,2.62586970e-01,2.65519820e-01,9.27452620e-01,9.23814595e-01,9.14380407e-01,9.26355644e-01,3.03130178e-01,3.02108229e-01,3.03746168e-01,3.03357193e-01
7.24773856e-01,2.65573712e-01,2.64237389e-01,2.58349557e-01,2.65603862e-01,9.27452620e-01,9.21826002e-01,9.23960989e-01,9.25726548e-01,3.03130178e-01,3.01491644e-01,3.01483682e-01,3.03453876e-01
7.28908433e-01,2.65573712e-01,2.63638816e-01,2.55613862e-01,2.65546154e-01,9.27452620e-01,9.18761765e-01,9.32996838e-01,9.26427062e-01,3.03130178e-01,3.00455377e-01,2.99872193e-01,3.03124996e-01
7.32965690e-01,2.65573712e-01,2.62773170e-01,2.55384180e-01,2.65768886e-01,9.27452620e-01,9.14010762e-01,9.36201655e-01,9.26169766e-01,3.03130178e-01,2.98900712e-01,2.99206010e-01,3.03044523e-01
7.37261029e-01,2.65573712e-01,2.61295686e-01,2.57310676e-01,2.65953368e-01,9.27452620e-01,9.05781231e-01,9.28648443e-01,9.25948161e-01,3.03130178e-01,2.96314581e-01,2.98364611e-01,3.02737442e-01
7.41599307e-01,2.65573712e-01,2.58795249e-01,2.64377328e-01,2.66459286e-01,9.27452620e-01,8.92254089e-01,9.21494589e-01,9.23551262e-01,3.03130178e-01,2.92157581e-01,3.00073679e-01,3.02950511e-01
7.45155953e-01,2.65573712e-01,2.55741080e-01,2.68062744e-01,2.66336671e-01,9.27452620e-01,8.76269816e-01,9.02664548e-01,9.19059015e-01,3.03130178e-01,2.87125782e-01,2.97819874e-01,3.02543360e-01
7.47453305e-01,2.65573712e-01,2.53190014e-01,2.61041272e-01,2.65396014e-01,9.27452620e-01,8.63843778e-01,8.62394543e-01,9.20248252e-01,3.03130178e-01,2.82801715e-01,2.83059334e-01,3.00903345e-01
7.52121883e-01,2.65573712e-01,2.44608762e-01,2.47800295e-01,2.61664409e-01,9.27452620e-01,8.20607040e-01,7.97448507e-01,9.06822011e-01,3.03130178e-01,2.69097713e-01,2.63330469e-01,2.95253973e-01
7.56191981e-01,2.65573712e-01,2.33527887e-01,2.26336508e-01,2.51534866e-01,9.27452620e-01,7.61497619e-01,7.07173768e-01,8.57295024e-01,3.03130178e-01,2.51874088e-01,2.36976993e-01,2.80117373e-01
7.61184452e-01,2.65573712e-01,2.13283146e-01,2.06776596e-01,2.11245120e-01,9.27452620e-01,6.50190576e-01,6.09380878e-01,6.48030345e-01,3.03130178e-01,2.21741469e-01,2.12350285e-01,2.21512727e-01
7.63833318e-01,1.25000000e-01,2.01413726e-01,1.93584331e-01,1.68986209e-01,0.00000000e+00,5.68798805e-01,5.22325577e-01,3.44742002e-01,1.00000000e-01,2.02681504e-01,1.93784011e-01,1.56173819e-01
7.66605324e-01,1.25000000e-01,1.86209981e-01,1.74086732e-01,1.37619439e-01,0.00000000e+00,4.67091777e-01,4.08648168e-01,1.05151831e-01,1.00000000e-01,1.79591253e-01,1.68229924e-01,1.14811546e-01
7.71091852e-01,1.25000000e-01,1.61377554e-01,1.53561521e-01,1.26774076e-01,0.00000000e+00,2.96867148e-01,2.66573809e-01,1.50834419e-02,1.00000000e-01,1.45760116e-01,1.41381519e-01,1.02008977e-01
7.75541220e-01,1.25000000e-01,1.43282159e-01,1.40704859e-01,1.25231864e-01,0.00000000e+00,1.53874619e-01,1.50221259e-01,1.96420848e-03,1.00000000e-01,1.21983001e-01,1.22216216e-01,1.00260060e-01
7.79727359e-01,1.25000000e-01,1.33140188e-01,1.32776239e-01,1.25031784e-01,0.00000000e+00,6.89147741e-02,7.18374833e-02,2.69112975e-04,1.00000000e-01,1.09426974e-01,1.10137236e-01,1.00035605e-01
7.84222015e-01,1.25000000e-01,1.28125056e-01,1.27917246e-01,1.25004108e-01,0.00000000e+00,2.64971369e-02,2.44455968e-02,3.47810766e-05,1.00000000e-01,1.03548307e-01,1.03271785e-01,1.00004601e-01
7.88830906e-01,1.25000000e-01,1.26120721e-01,1.25974823e-01,1.25000511e-01,0.00000000e+00,9.49567326e-03,4.79955135e-03,4.32702391e-06,1.00000000e-01,1.01261522e-01,1.00472902e-01,1.00000572e-01
7.90497054e-01,1.25000000e-01,1.25673641e-01,1.25039669e-01,1.25000181e-01,0.00000000e+00,5.69594508e-03,-4.43665168e-03,1.53529565e-06,1.00000000e-01,1.00755818e-01,9.91983783e-02,1.00000203e-01
7.97545270e-01,1.25000000e-01,1.25174972e-01,1.24363754e-01,1.25000016e-01,0.00000000e+00,1.48215260e-03,-9.44619923e-03,1.33055201e-07,1.00000000e-01,1.00196174e-01,9.85601030e-02,1.00000018e-01
8.01544288e-01,1.25000000e-01,1.25066761e-01,1.24239437e-01,1.25000002e-01,0.00000000e+00,5.65234859e-04,-9.39312298e-03,1.94474923e-08,1.00000000e-01,1.00074793e-01,9.85971848e-02,1.00000003e-01
8.02909921e-01,1.25000000e-01,1.25042958e-01,1.24351297e-01,1.25000001e-01,0.00000000e+00,3.63664319e-04,-7.79626723e-03,8.52084197e-09,1.00000000e-01,1.00048118e-01,9.88328311e-02,1.00000001e-01
8.08638988e-01,1.25000000e-01,1.25012917e-01,1.24516778e-01,1.25000000e-01,0.00000000e+00,1.09366794e-04,-5.78777674e-03,9.19274720e-10,1.00000000e-01,1.00014469e-01,9.91346215e-02,1.00000000e-01
8.12244512e-01,1.25000000e-01,1.25005241e-01,1.24592341e-01,1.25000000e-01,0.00000000e+00,4.43735148e-05,-4.45680709e-03,1.52985417e-10,1.00000000e-01,1.00005870e-01,9.93329238e-02,1.00000000e-01
8.14418153e-01,1.25000000e-01,1.25002782e-01,1.24714421e-01,1.25000000e-01,0.00000000e+00,2.35534849e-05,-3.17751068e-03,4.24509572e-11,1.00000000e-01,1.00003116e-01,9.95194221e-02,1.00000000e-01
8.18802452e-01,1.25000000e-01,1.25000998e-01,1.24838669e-01,1.25000000e-01,0.00000000e+00,8.45093876e-06,-1.92647696e-03,5.96274196e-12,1.00000000e-01,1.00001118e-01,9.96989716e-02,1.00000000e-01
8.24460288e-01,1.25000000e-01,1.25000301e-01,1.24911158e-01,1.25000000e-01,0.00000000e+00,2.54990767e-06,-1.10039165e-03,6.42201346e-13,1.00000000e-01,1.00000337e-01,9.98201019e-02,1.00000000e-01
8.27497796e-01,1.25000000e-01,1.25000134e-01,1.24948825e-01,1.25000000e-01,0.00000000e+00,1.13505990e-06,-6.58753053e-04,1.27522136e-13,1.00000000e-01,1.00000150e-01,9.98903840e-02,1.00000000e-01
8.31970399e-01,1.25000000e-01,1.25000047e-01,1.24968776e-01,1.25000000e-01,0.00000000e+00,3.99170012e-07,-4.15601439e-04,1.68679402e-14,1.00000000e-01,1.00000053e-01,9.99315985e-02,1.00000000e-01
8.34689115e-01,1.25000000e-01,1.25000022e-01,1.24978687e-01,1.25000000e-01,0.00000000e+00,1.87837308e-07,-2.69442732e-04,3.44213316e-15,1.00000000e-01,1.00000025e-01,9.99562822e-02,1.00000000e-01
8.39589976e-01,1.25000000e-01,1.25000007e-01,1.24988990e-01,1.25000000e-01,0.00000000e+00,6.17994928e-08,-1.40782582e-04,2.83995911e-16,1.00000000e-01,1.00000008e-01,9.99762560e-02,1.00000000e-01
8.43873125e-01,1.25000000e-01,1.25000003e-01,1.24993288e-01,1.25000000e-01,0.00000000e+00,2.21281970e-08,-7.80405282e-05,7.75604004e-18,1.00000000e-01,1.00000003e-01,9.99872142e-02,1.00000000e-01
8.47418403e-01,1.25000000e-01,1.25000001e-01,1.24996160e-01,1.25000000e-01,0.00000000e+00,8.87746870e-09,-4.40276489e-05,0.00000000e+00,1.00000000e-01,1.00000001e-01,9.99934586e-02,1.00000000e-01
8.51212527e-01,1.25000000e-01,1.25000000e-01,1.24997955e-01,1.25000000e-01,0.00000000e+00,3.40429332e-09,-2.17215621e-05,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99969815e-02,1.00000000e-01
8.54599064e-01,1.25000000e-01,1.25000000e-01,1.24998967e-01,1.25000000e-01,0.00000000e+00,1.39262978e-09,-8.59880888e-06,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99989525e-02,1.00000000e-01
8.59017003e-01,1.25000000e-01,1.25000000e-01,1.24999590e-01,1.25000000e-01,0.00000000e+00,4.80344441e-10,-7.90529731e-07,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000030e-01,1.00000000e-01
8.64604148e-01,1.25000000e-01,1.25000000e-01,1.24999915e-01,1.25000000e-01,0.00000000e+00,1.40302210e-10,2.25930133e-06,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000405e-01,1.00000000e-01
8.66411407e-01,1.25000000e-01,1.25000000e-01,1.25000052e-01,1.25000000e-01,0.00000000e+00,7.84442104e-11,2.91955680e-06,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000466e-01,1.00000000e-01
8.70667224e-01,1.25000000e-01,1.25000000e-01,1.25000105e-01,1.25000000e-01,0.00000000e+00,2.72951154e-11,2.71938379e-06,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000413e-01,1.00000000e-01
8.77331971e-01,1.25000000e-01,1.25000000e-01,1.25000135e-01,1.25000000e-01,0.00000000e+00,6.88034489e-12,2.14829508e-06,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000309e-01,1.00000000e-01
8.81364787e-01,1.25000000e-01,1.25000000e-01,1.25000147e-01,1.25000000e-01,0.00000000e+00,2.44575311e-12,1.74851217e-06,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000246e-01,1.00000000e-01
8.82593225e-01,1.25000000e-01,1.25000000e-01,1.25000112e-01,1.25000000e-01,0.00000000e+00,1.57222711e-12,1.25618642e-06,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000177e-01,1.00000000e-01
8.87824254e-01,1.25000000e-01,1.25000000e-01,1.25000062e-01,1.25000000e-01,0.00000000e+00,4.63381655e-13,7.01601071e-07,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000101e-01,1.00000000e-01
8.93403207e-01,1.25000000e-01,1.25000000e-01,1.25000033e-01,1.25000000e-01,0.00000000e+00,1.29291564e-13,3.82008376e-07,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000056e-01,1.00000000e-01
8.96215835e-01,1.25000000e-01,1.25000000e-01,1.25000019e-01,1.25000000e-01,0.00000000e+00,5.58966044e-14,2.29738429e-07,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000033e-01,1.00000000e-01
9.00883614e-01,1.25000000e-01,1.25000000e-01,1.25000013e-01,1.25000000e-01,0.00000000e+00,1.73784476e-14,1.47313319e-07,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000021e-01,1.00000000e-01
9.02849415e-01,1.25000000e-01,1.25000000e-01,1.25000010e-01,1.25000000e-01,0.00000000e+00,8.99385080e-15,9.50544602e-08,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000013e-01,1.00000000e-01
9.06550243e-01,1.25000000e-01,1.25000000e-01,1.25000010e-01,1.25000000e-01,0.00000000e+00,3.36451454e-15,5.85541105e-08,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000008e-01,1.00000000e-01
9.12361667e-01,1.25000000e-01,1.25000000e-01,1.25000002e-01,1.25000000e-01,0.00000000e+00,7.84462429e-16,2.50532469e-08,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000003e-01,1.00000000e-01
9.17597771e-01,1.25000000e-01,1.25000000e-01,1.24999995e-01,1.25000000e-01,0.00000000e+00,8.33026913e-17,5.79702283e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000001e-01,1.00000000e-01
9.19641639e-01,1.25000000e-01,1.25000000e-01,1.24999996e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-1.47936198e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999995e-02,1.00000000e-01
9.24197573e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-2.12271288e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999992e-02,1.00000000e-01
9.26876694e-01,1.25000000e-01,1.25000000e-01,1.25000002e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-2.14706820e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999992e-02,1.00000000e-01
9.31195078e-01,1.25000000e-01,1.25000000e-01,1.24999999e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-1.68688834e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999994e-02,1.00000000e-01
9.37244915e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-1.52565917e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999997e-02,1.00000000e-01
9.40105816e-01,1.25000000e-01,1.25000000e-01,1.24999999e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-1.95164411e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999998e-02,1.00000000e-01
9.42975477e-01,1.25000000e-01,1.25000000e-01,1.25000001e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-2.44816438e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999998e-02,1.00000000e-01
9.47002980e-01,1.25000000e-01,1.25000000e-01,1.25000001e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-3.10140781e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999998e-02,1.00000000e-01
9.51473751e-01,1.25000000e-01,1.25000000e-01,1.25000001e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-3.92903792e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999998e-02,1.00000000e-01
9.56396351e-01,1.25000000e-01,1.25000000e-01,1.25000001e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-4.52691894e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999999e-02,1.00000000e-01
9.61248084e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-4.71718697e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000000e-01,1.00000000e-01
9.64243829e-01,1.25000000e-01,1.25000000e-01,1.24999998e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-4.50310155e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000000e-01,1.00000000e-01
9.68553261e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-3.86536905e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000000e-01,1.00000000e-01
9.71302792e-01,1.25000000e-01,1.25000000e-01,1.24999999e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-2.79595037e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000001e-01,1.00000000e-01
9.76428860e-01,1.25000000e-01,1.25000000e-01,1.24999999e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-1.75505838e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000001e-01,1.00000000e-01
9.80577236e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-1.85542500e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000001e-01,1.00000000e-01
9.84823180e-01,1.25000000e-01,1.25000000e-01,1.24999999e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-3.14153814e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000001e-01,1.00000000e-01
9.89558107e-01,1.25000000e-01,1.25000000e-01,1.25000001e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-5.38129309e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000001e-01,1.00000000e-01
9.93444932e-01,1.25000000e-01,1.25000000e-01,1.25000004e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-8.96647508e-09,0.00000000e+00,1.00000000e-01,1.00000000e-01,1.00000000e-01,1.00000000e-01
9.95858339e-01,1.25000000e-01,1.25000000e-01,1.25000003e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-1.51492291e-08,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999992e-02,1.00000000e-01
1.00084379e+00,1.25000000e-01,1.25000000e-01,1.24999997e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-2.29215916e-08,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999982e-02,1.00000000e-01
1.00400000e+00,1.25000000e-01,1.25000000e-01,1.24999997e-01,1.25000000e-01,0.00000000e+00,0.00000000e+00,-2.29215916e-08,0.00000000e+00,1.00000000e-01,1.00000000e-01,9.99999982e-02,1.00000000e-01
